"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C72","C0805","1326.772mil","1775.591mil","1326.772mil","1775.591mil","1326.772mil","1738.189mil","T","90.00","220n"
"C73","C0805","1106.299mil","3917.323mil","1106.299mil","3917.323mil","1106.299mil","3879.921mil","T","90.00","2.2u"
"D1","SMA","3015.748mil","4574.803mil","3015.748mil","4574.803mil","3015.748mil","4494.094mil","T","90.00","S1M"
"D2","LED-SM1","2114.173mil","4299.213mil","2114.173mil","4299.213mil","2183.07mil","4299.213mil","T","180.00","LED"
"D3","SOD-80","1897.638mil","4503.937mil","1897.638mil","4503.937mil","1897.638mil","4431.102mil","T","90.00","LL4148"
"D5","SOT-23","3625.984mil","3692.913mil","3625.984mil","3692.913mil","3663.386mil","3739.173mil","T","180.00","BAS70-04"
"D6","SOT-23","3645.669mil","3322.835mil","3645.669mil","3322.835mil","3608.268mil","3276.575mil","T","360.00","BAS70-04"
"D8","SMC","1708.661mil","2263.78mil","1708.661mil","2263.78mil","1708.661mil","2126.969mil","T","90.00","MBRS340"
"D9","SMA","3403.543mil","2793.307mil","3403.543mil","2793.307mil","3322.835mil","2793.307mil","B","360.00","S1M"
"D10","DO-15V","1939.961mil","2384.843mil","1939.961mil","2313.976mil","1939.961mil","2455.709mil","T","270.00","P6KE22A"
"D11","SOT-23","3503.937mil","2933.071mil","3503.937mil","2933.071mil","3457.677mil","2970.472mil","T","270.00","BAS70-04"
"D12","SOT-23","3498.031mil","2222.441mil","3498.031mil","2222.441mil","3451.772mil","2259.843mil","T","270.00","BAS70-04"
"D13","SMA","4114.173mil","4473.425mil","4114.173mil","4473.425mil","4114.173mil","4392.717mil","B","90.00","S1M"
"D14","SMA","4189.96mil","3878.937mil","4189.96mil","3878.937mil","4189.96mil","3798.229mil","B","90.00","S1M"
"D15","SMA","3357.285mil","3507.874mil","3357.285mil","3507.874mil","3437.994mil","3507.874mil","B","180.00","S1M"
"D16","SMA","3251.968mil","1708.661mil","3251.968mil","1708.661mil","3251.968mil","1627.953mil","B","90.00","S1M"
"D17","SOT-23","3921.26mil","2913.386mil","3921.26mil","2913.386mil","3883.858mil","2867.126mil","T","360.00","BAS70-04"
"D18","SOT-23","3834.646mil","2271.653mil","3834.646mil","2271.653mil","3880.905mil","2234.252mil","T","90.00","BAS70-04"
"D19","SMA","3653.543mil","3657.48mil","3653.543mil","3657.48mil","3653.543mil","3576.772mil","B","90.00","S1M"
"D20","SMA","3618.111mil","3137.795mil","3618.111mil","3137.795mil","3618.111mil","3057.086mil","B","90.00","S1M"
"D21","SMA","3231.299mil","2171.26mil","3231.299mil","2171.26mil","3231.299mil","2090.551mil","B","90.00","SMAJ22A"
"D22","SOD-80","2162.402mil","3418.307mil","2162.402mil","3418.307mil","2235.236mil","3418.307mil","B","180.00","LL4148"
"D23","SOD-80","2162.402mil","3329.724mil","2162.402mil","3329.724mil","2235.236mil","3329.724mil","B","180.00","LL4148"
"D24","SOT-23","3051.181mil","2294.287mil","3051.181mil","2294.287mil","3004.921mil","2331.689mil","T","270.00","BAS70-04"
"D25","SOT-23","3043.307mil","2082.677mil","3043.307mil","2082.677mil","3080.709mil","2128.937mil","T","180.00","BAS70-04"
"D26","SOD-80","2161.417mil","3507.874mil","2161.417mil","3507.874mil","2234.252mil","3507.874mil","B","180.00","LL4148"
"D28","LED-SM1","1893.702mil","4232.283mil","1893.702mil","4232.283mil","1893.702mil","4163.386mil","T","90.00","BT"
"J2","HDR1x2","2382.677mil","4696.85mil","2332.677mil","4696.85mil","2332.677mil","4696.85mil","T","360.00","Boot"
"J4","NET-JUMPER","1132.874mil","1923.228mil","1132.874mil","1923.228mil","1132.874mil","1887.795mil","B","90.00","SD_SW"
"J7","CONN-USB-B","1468.189mil","1277.441mil","1468.189mil","780mil","1517.402mil","1370.157mil","T","90.00","USB-B"
"L1","L2012","2250.985mil","3712.599mil","2250.985mil","3712.599mil","2250.985mil","3751.969mil","T","270.00","BLM21PG331"
"L3","L-CDRH104R","1791.339mil","2700.787mil","1791.339mil","2700.787mil","1791.339mil","2525.591mil","T","90.00","CDRH104RNP-330"
"L4","L-CDRH104R","1818.898mil","3334.645mil","1818.898mil","3334.645mil","1818.898mil","3159.448mil","T","90.00","CDRH104RNP-330"
"L5","L1206","1523.622mil","1574.803mil","1523.622mil","1574.803mil","1523.622mil","1519.685mil","T","90.00","BLM21PG331"
"P1","HDR1X5","2542.52mil","4814.961mil","2342.52mil","4814.961mil","2342.52mil","4814.961mil","T","360.00","STLink"
"P2","HDR2X3","3211.417mil","4718.898mil","3161.417mil","4818.898mil","3161.417mil","4818.898mil","T","270.00","WB_EGO"
"P3","BATTERY-HOLDER-2032-V","2251.968mil","4495.866mil","2251.968mil","4570.866mil","2448.819mil","4420.866mil","T","360.00","BS-5 (CR2032)"
"P4","HDR1X3","4043.307mil","2891.339mil","4043.307mil","2791.339mil","4043.307mil","2791.339mil","T","90.00","MAP"
"P6","DRV8825_Module","2750.394mil","2820.866mil","3100.394mil","3070.866mil","3100.394mil","3070.866mil","T","180.00","DRV8825_MOD"
"P49","HDR1X1-BIG2","2862.205mil","1251.968mil","2862.205mil","1251.968mil","2862.205mil","1251.968mil","T","0.00","23"
"P50","HDR1X1-BIG2","3003.937mil","1251.968mil","3003.937mil","1251.968mil","3003.937mil","1251.968mil","T","0.00","24"
"P8","HDR1X1-BIG2","3287.402mil","1251.968mil","3287.402mil","1251.968mil","3287.402mil","1251.968mil","T","0.00","26"
"P43","HDR1X1-BIG2","3712.599mil","1401.575mil","3712.599mil","1401.575mil","3712.599mil","1401.575mil","T","0.00","14"
